responsable,estado,escuela,nivel,cct,colonia,alcaldia,trabajos_finales,trabajos_solicitados,modalidad,avance
DGCOP,CONTRATADO,HERMANOS GRIMM,PREESCOLAR,09DJN0005T,ROMERO RUBIO,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NUCLEOS SANITARIOS
- IMPERMEABILIZACIÓN 
- REHABILITACIÓN DE CANCELERIA Y HERRERIA
- REPARACIÓN DE PISOS CERAMICOS 
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-IMPERMEABILIZACION
-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE CANCELERIA Y HERRERIA 
-PINTURA EN EDIFICIOS Y/ O AULAS 
-OTROS (ALBERCA)",PRESENCIAL,100.00%
DGCOP,CONTRATADO,MIXCOATL,PRIMARIA,09DPR2914W,LOMAS DE SAN LORENZO I,IZTAPALAPA,"- IMPERMEABILIZACIÓN 
- CONSTRUCCIÓN DE AULAS DE USUS MULTIPLES
- AULA DIGITAL","-CONSTRUCCION DE AULAS DE USOS MULTIPLES 
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA 
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-IMPERMEABILIZACION",PRESENCIAL,55.01%
DGCOP,CONTRATADO,JUAN DE MATA RIVERA,PRIMARIA,09DPR1272M,EL ROSARIO,IZTAPALAPA,"- REHABILITACIÓN DE NUCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- IMPERMEABILIZACIÓN 
- REPARACIÓN DE PISOS CERAMICOS 
- AULA DIGITAL","-IMPERMEABILIZACION
-REHABILITACION DE INSTALACIONES ELECTRICAS
-OTROS (CONSTRUCCION DE MODULO DE BAÑOS)
-REHABILITACION DE NUCLEOS SANITARIOS",PRESENCIAL,95.45%
DGCOP,CONTRATADO,REPÚBLICA DE MADAGASCAR,PRIMARIA,09DPR2090K,JACARANDAS,IZTAPALAPA,"- REHABILITACIÓN DE NUCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE PISOS, ANDADORES Y PATIOS
- AULA DIGITAL","-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-OTROS (CONSTRUCCION DE COMEDOR)
-PINTURA EN EDIFICIOS Y/ O AULAS",PRESENCIAL,70.70%
DGCOP,CONTRATADO,JOSÉ VASCONCELOS,SECUNDARIA,09DES0315G,SAN JUAN XALPA II,IZTAPALAPA,"- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- AULA DIGITAL","-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE PISOS, ANDADORES O PATIOS",PRESENCIAL,97.71%
DGCOP,CONTRATADO,PROFR. CARLOS SANDOVAL SEVILLA,PRIMARIA,09DPR0049G,PASEOS DE CHURUBUSCO,IZTAPALAPA,"- REHABILITACIÓN DE NUCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- IMPERMEABILIZACIÓN 
- REHABILITACIÓN DE PISOS, ANDADORES Y PATIOS
- AULA DIGITAL","-REPARACION DE PISOS CERAMICOS 
-REHABILITACION DE MURO PERIMETRAL
-OTROS (MALLAS SOMBRA)
-REHABILITACION DE NUCLEOS SANITARIOS 
-IMPERMEABILIZACION
-REHABILITACION DE INSTALACIONES ELECTRICAS",PRESENCIAL,97.40%
DGCOP,CONTRATADO,ESTADO DE OAXACA,PRIMARIA,09DPR2753Z,PANTITLAN I,IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- IMPERMEABILIZACIÓN 
- REHABILITACIÓN DE CUBIERTA EN PATIO
- REHABILITACIÓN DE PISOS, ANDADORES Y PATIOS
- PINTURA EN EDIFICIOS Y/O AULAS 
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","-REHABILITACION DE PISOS, ANDADORES O PATIOS
-IMPERMEABILIZACION
-REHABILITACION DE MURO PERIMETRAL
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE CANCELERIA Y HERRERIA 
-PINTURA EN EDIFICIOS Y/ O AULAS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,MAO TSE TUNG,PRIMARIA,09DPR2424H,CAMPAMENTO 2 DE OCTUBRE I,IZTACALCO,"- REHABILITACIÓN DE CUBIERTA EN PATIO
- REHABILITACIÓN DE PISOS, ANDADORES Y PATIOS","- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- REAHBILITACIÓN DE MURO PERIMETRAL
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS",PRESENCIAL,99.99%
DGCOP,CONTRATADO,AUGUSTO CESAR SANDINO,PRIMARIA,09DPR1020I,PANTITLAN I,IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- IMPERMEABILIZACIÓN 
- PINTURA EN EDIFICIOS Y/O AULAS 
- POSTE
- BURLADERO
- PINTURA EN FACHADA","-REHABILITACION DE NUCLEOS SANITARIOS 
-REHABILITACION DE CANCELERIA Y HERRERIA 
-IMPERMEABILIZACION
-OTROS (RESANE DE MUROS)
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE PISOS, ANDADORES O PATIOS",PRESENCIAL,99.73%
DGCOP,CONTRATADO,REPÚBLICA DE HONDURAS,SECUNDARIA,09DES0060W,PANTITLAN IV,IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES ELECTRICAS
- IMPERMEABILIZACIÓN 
- REHABILITACIÓN DE CUBIERTA EN PATIO
- REHABILITACIÓN DE PISOS, ANDADORES Y PATIOS
- REPARACIÓN DE PISOS CERAMICOS 
- PINTURA EN EDIFICIOS Y/O AULAS 
- REHABILITACIÓN DE AULAS DE USUS MULTIPLES
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","-REHABILITACION DE INSTALACIONES ELECTRICAS
-IMPERMEABILIZACION
-REHABILITACION DE PISOS, ANDADORES O PATIOS
-REHABILITACION DE CANCELERIA Y HERRERIA 
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-CONSTRUCCION DE AULAS DE USOS MULTIPLES",PRESENCIAL,98.52%
DGCOP,CONTRATADO,ALFONSO NORIEGA CANTÚ,SECUNDARIA,09DES0233X,PANTITLAN III,IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- PINTURA EN FACHADA
- AULA DIGITAL","-REPARACION DE PISOS CERAMICOS 
-PINTURA EN EDIFICIOS Y/ O AULAS 
-REHABILITACION DE INSTALACIONES HIDROSANITARIAS
-REHABILITACION DE INSTALACIONES ELECTRICAS
-OTROS (MALLA SOMBRA)
-CONSTRUCCION O REHABILITACION DE ESCALERAS DE EMERGENCIA",PRESENCIAL,100.00%
DGCOP,CONTRATADO,ABRAHAM LINCOLN,SECUNDARIA,09DES0082H,OBRERA I,CUAUHTEMOC,"- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA","-IMPERMEABILIZACION
-REHABILITACION DE INSTALACIONES ELECTRICAS
-REHABILITACION DE NUCLEOS SANITARIOS 
-REPARACION DE PISOS CERAMICOS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,GUELATAO DE JUÁREZ,PRIMARIA,09DPR2453C,OBRERA I,CUAUHTEMOC,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS","-REHABILITACION DE NUCLEOS SANITARIOS 
-REPARACION DE PISOS CERAMICOS 
-REHABILITACION DE INSTALACIONES ELECTRICAS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,PROFR. MAXIMILIANO MOLINA FUENTE,PRIMARIA,09DPR5147P,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS","- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE NÚCLEOS SANITARIOS",PRESENCIAL,99.00%
DGCOP,CONTRATADO,PROFR. ELISEO BANDALA FERNANDEZ,PRIMARIA,09DPR3091Q,PEDREGAL DE SN NICOLAS 1A SECC,TLALPAN,- PINTURA EN EDIFICIOS Y/O AULAS,"- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- PINTURA EN EDIFICIOS Y/O AULAS
- REPARACIÓN DE PISOS CERÁMICOS
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- IMPERMEABILIZACIÓN",PRESENCIAL,53.00%
DGCOP,CONTRATADO,KANTUNIL,PREESCOLAR,09DJN0139I,PEDREGAL DE SN NICOLAS 4A SECC I,TLALPAN,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE PISOS, ANDADORES O PATIO","- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- PINTURA EN EDIFICIOS Y/O AULAS",PRESENCIAL,92.00%
DGCOP,CONTRATADO,TONALI,PREESCOLAR,09DJN0399V,PEDREGAL DE SN NICOLAS 1A SECC,TLALPAN,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- PINTURA EN EDIFICIOS Y/O AULAS","- IMPERMEABILIZACIÓN
- OTROS (REHABILITACIÓN DE TINACOS)
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- CONSTRUCCIÓN DE AULAS DE USOS MULTIPLES",PRESENCIAL,96.00%
DGCOP,CONTRATADO,PROFR. VICTOR MANUEL MANZANO DELGADO,PRIMARIA,09DPR2676L,PEDREGAL DE SN NICOLAS 4A SECC II,TLALPAN,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- BURLADERO
- AULA DIGITAL","- REHABILITACIÓN DE AULAS DE USOS MÚLTIPLES
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- OTROS (CONSTRUCCIÓN DE CISTERNA)
- PINTURA EN EDIFICIOS Y/O AULAS",PRESENCIAL,81.00%
DGCOP,CONTRATADO,ESCUELA SECUNDARIA TÉCNICA 42,SECUNDARIA,09DST0042Z,MORELOS I,CUAUHTEMOC,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- BURLADERO
- AULA DIGITAL","- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- OTROS (REFLECTORES)",PRESENCIAL,82.00%
DGCOP,CONTRATADO,MA. ELENA CHANES,PREESCOLAR,09DJN0701Q,MORELOS III,CUAUHTEMOC,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- BURLADERO","- OTROS (BAJADAS DE AGUA PLUVIAL TECHO ENTRADA)
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- IMPERMEABILIZACIÓN",PRESENCIAL,70.00%
DGCOP,CONTRATADO,CAPITAN IGNACIO JOSÉ DE ALLENDE,PREESCOLAR,09DJN0155Z,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE CUBIERTA DE PATIO
- PINTURA EN EDIFICIOS Y/O AULAS","- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- IMPERMEABILIZACIÓN
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REPARACIÓN DE PISOS CERÁMICOS",PRESENCIAL,85.00%
DGCOP,CONTRATADO,ESCUELA SECUNDARIA TÉCNICA 56,SECUNDARIA,09DST0056B,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REPARACIÓN DE PISOS CERÁMICOS
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REPARACIÓN DE PISOS CERÁMICOS
- CONSTRUCCIÓN DE AULAS DE USOS MULTIPLES",PRESENCIAL,92.00%
DGCOP,CONTRATADO,RAFAEL MOLINA BETANCOURT,SECUNDARIA,09DES0186C,CAMPAMENTO 2 DE OCTUBRE I,IZTACALCO,"- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- OTROS (BOMBAS)
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- REHABILITACIÓN DE NÚCLEOS SANITARIOS",PRESENCIAL,100.00%
DGCOP,CONTRATADO,ROBERTO LARA Y LÓPEZ,PRIMARIA,09DPR1029Z,ROMERO RUBIO,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REPARACIÓN DE PISOS CERÁMICOS
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- OTROS (DRENAJE)
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REPARACIÓN DE PISOS CERÁMICOS",EN LINEA,93.80%
DGCOP,CONTRATADO,SIRIA,PRIMARIA,09DPR2200Z,ROMERO RUBIO,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- IMPERMEABILIZACIÓN
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- PINTURA EN EDIFICIOS Y/O AULAS
- IMPERMEABILIZACIÓN
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- OTROS (PUERTA DE EMERGENCIA)
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS",EN LINEA,87.85%
DGCOP,CONTRATADO,LIC. ERNESTO ENRIQUEZ,PRIMARIA,09DPR0977U,ROMERO RUBIO,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- CONSTRUCCIÓN DE AULAS DE USOS MULTIPLES
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- PINTURA EN EDIFICIOS Y/O AULAS
- OTROS (ABRIR VENTANA PARA VENTILIZACIÓN)
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS",EN LINEA,61.10%
DGCOP,CONTRATADO,PLAN DE AYUTLA,PRIMARIA,09DPR1044S,ROMERO RUBIO,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REPARACIÓN DE PISOS CERÁMICOS
- POSTE
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE INSTALACIONES ELÉCTRICAS
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA",EN LINEA,90.25%
DGCOP,CONTRATADO,LORENZA ROSALES,PRIMARIA,09DPR2377N,MORELOS I,VENUSTIANO CARRANZA,"- REHABILITACIÓN DE NÚCLEOS SANITARIOS
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS
- REHABILITACIÓN DE CUBIERTA DE PATIO
- AULA DIGITAL","- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- REHABILITACIÓN DE CANCELERÍA Y HERRERÍA
- REHABILITACIÓN DE INSTALACIONES HIDROSANITARIAS",PRESENCIAL,99.00%
DGCOP,CONTRATADO,MTRO. SALVADOR M. LIMA,PRIMARIA,09DPR2327F,MORELOS I,VENUSTIANO CARRANZA,"- REAHBILITACIÓN DE MURO PERIMETRAL
- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- BURLADERO
- PINTURA EN FACHADA
- AULA DIGITAL","- CONSTRUCCIÓN DE CUBIERTA DE PATIO
- REPARACIÓN DE PISOS CERÁMICOS
- PINTURA EN EDIFICIOS Y/O AULAS
- REHABILITACIÓN DE ESCALERAS DE EMERGENCIA
- REHABILITACIÓN DE PISOS, ANDADORES O PATIOS
- REAHBILITACIÓN DE MURO PERIMETRAL",PRESENCIAL,94.00%
